date,category,label,detail,source
2026-04-22,milestone,Fundación del proyecto,Proyecto creado de cero: reconciler + tier + pricing + LiteLLM M1 + 68 tests en un día,PR#1-#4
2026-04-22,rule-born,Invariantes I-1 a I-6 desde día 0,Hook exit 0 / idempotencia / cwd / tags UNION / ventana / pricing SSoT declaradas en PR#1,PR#1
2026-04-22,debt,I-6 mergeada rota en PR#1,MODEL_PRICING duplicado en 3 sitios en el mismo PR que declara el invariante; corregida 9 min después,PR#1 → PR#2
2026-04-22,debt,Systemd timer sin instalar al merge,PR#1 dejó checkboxes operacionales vacíos; timer quedó sin activar en esa sesión,PR#1
2026-04-23,milestone,LiteLLM M2+M3 en 90 min,Callback Langfuse + virtual keys + alertas Slack cerrados en 2 PRs consecutivos,PR#5-#6
2026-04-23,debt,Smoke E2E M2 diferido post-merge,Trazabilidad LiteLLM→Langfuse no verificada antes del merge; marcada como post-merge,PR#5
2026-04-24,milestone,MCP server + AgentTool registry,MCP stdio JSON-RPC + tool registry + sandbox modes + 175 tests tras cerrar backlog Orvian 6/6,PR#7-#9
2026-04-24,debt,tier-cache mergeado sin consumidor,shared/tier-cache.ts mergeada sin integrarse en hook ni reconciler; consumidor planificado para iteración futura,PR#7
2026-04-26,milestone,CI + tests: 0 → 354 en una jornada,GitHub Actions + typecheck strict + 354 tests en 9 PRs secuenciales; coverage 78% → 89%,PR#10-#18
2026-04-26,debt,CI creado después del código inicial,tsconfig.json y package.json creados en PR#13 cuando ya había 10 archivos en el repo,PR#11-#13
2026-04-26,fix-of-fix,cherry-pick manual entre ramas deuda,Sprint-2 bifurcado antes de que sprint-1 mergeara; recovery por cherry-pick documentado,PR#13-#14
2026-04-26,rule-born,Cross-validation I-6 en CI,Test pricing.test.ts verifica sync extensión vs shared/model-pricing.ts; invariante I-6 ahora testeable,PR#12
2026-04-27,milestone,65 findings seguridad cerrados,Audit CRITICAL→LOW liquidado: tsconfig strict +5 flags + I-13 en CI + PRO migration scaffolding,PR#19-#29
2026-04-27,fix-of-fix,optional_host_permissions revertida y re-añadida,PR#20 eliminó el campo; PR#25 lo restituyó 1h46min después; mismo fichero decisiones opuestas,PR#20 → PR#25
2026-04-27,rule-born,Invariante I-13 edge/core en CI,cloud-run-boundary.test.ts con 17 tests impide que reconciler/hook migren a Cloud Run,PR#27
2026-04-28,incident,INC-001 docker compose down -v,Pérdida de ~3 semanas de trazas por agente que ejecutó destrucción de volúmenes sin confirmación,ADR-008
2026-04-28,milestone,PreToolUse hook anti-destrucción,Hook bloquea docker down -v y operaciones destructivas sobre datos Langfuse; 21 tests,PR#39
2026-04-28,milestone,ADR-008 + INC-001 en runbook,Incidente formalizado con límite matemático recovery y plantilla canónica de incidentes,PR#38 PR#40
2026-04-28,debt,Mitigación técnica tardó 6 días,PreToolUse hook mergeado 6 días después del incidente INC-001; vector activo durante ese período,PR#39
2026-04-29,milestone,pilot-onboarding.sh para 37 devs,Script standalone curl|bash con idempotencia; elimina fricción de instalación manual del hook,PR#41
2026-04-29,milestone,581 tests / 981 assertions,Coverage gap consolidation con subprocess tests para os.homedir() inmutable,PR#42
2026-04-29,debt,Script no testeado en máquina limpia,pilot-onboarding.sh mergeado con checkboxes "verificar en máquina limpia" sin marcar,PR#41
2026-05-06,debt,Upgrade Docker sin PR a main,Langfuse 3.171.0 → 3.172.1 commiteado directo a main sin PR; rompe disciplina branch protection,commit 550aaac
2026-05-06,fix-of-fix,Postgres healthcheck SELECT 1 real,pg_isready insuficiente: Prisma P1001 en arranques fríos; fix con query real en healthcheck,PR#43
2026-05-07,milestone,Fix crítico coste 0 → real,hook construía generations con schema legacy v3; calculatedTotalCost era 0 desde el inicio del proyecto,PR#45
2026-05-07,milestone,Roadmap Q2-Q3 planificado y ejecutado,8 sprints S17-S24 planificados y ejecutados íntegros el mismo día; 776 tests al cierre,PR#46-#63
2026-05-07,milestone,Backfill 96 sesiones históricas,script one-shot procesó 96 candidatos; 90 uploaded; 0 failed; mes adicional de historia recuperado,PR#47
2026-05-07,rule-born,ADR-011 + I-14 paralelismo agéntico,Blast Radius Matrix + N≤5 read-only / N≤3 write + doble-check obligatorio institucionalizados,PR#49
2026-05-07,enroque,Roadmap 8 semanas ejecutado en 8 horas,Items estimados S/M ejecutados en fracción del tiempo; sizing no calibrado para modo centauro,[inferido]
